div,year,intsq,ton,n_samples
IV,1963,33F3,101.64886919,
IV,1963,33F4,38.302305798,
IV,1963,34F1,86.815493479,
IV,1963,34F2,694.81141635,
IV,1963,34F4,51.744333861,
IV,1963,35F1,2.8746852145,
IV,1963,35F2,631.85581015,
IV,1963,35F3,90.552584258,
IV,1963,35F4,76.466626706,
IV,1963,35F5,60.368389505,
IV,1963,36F0,17.248111287,
IV,1963,36F1,452.47545277,
IV,1963,36F2,495.1070345,
IV,1963,36F3,508.81928297,
IV,1963,36F4,499.62029028,
IV,1963,36F5,177.65554626,
IV,1963,36F6,97.595563033,
IV,1963,36F7,597.07211906,
IV,1963,36F8,504.54117643,
IV,1963,37F0,40.245593003,
IV,1963,37F1,504.92887565,
IV,1963,37F2,590.54658362,
IV,1963,37F3,1147.382692,
IV,1963,37F4,1026.0901405,
IV,1963,37F5,506.37580054,
IV,1963,37F6,947.54415813,
IV,1963,37F7,1688.2160437,
IV,1963,37F8,2131.3395295,
IV,1963,38F0,92.852332429,
IV,1963,38F1,290.29529525,
IV,1963,38F2,561.61766808,
IV,1963,38F3,1314.5251037,
IV,1963,38F4,1233.0787009,
IV,1963,38F5,644.2046365,
IV,1963,38F6,714.67959788,
IV,1963,38F7,999.35775821,
IV,1963,38F8,460.95577415,
IV,1963,39F0,232.84950238,
IV,1963,39F1,442.96982699,
IV,1963,39F2,712.99859147,
IV,1963,39F3,941.7646035,
IV,1963,39F4,2226.7359583,
IV,1963,39F5,1399.2051168,
IV,1963,39F6,907.75618763,
IV,1963,39F7,2845.3350892,
IV,1963,39F8,344.34416842,
IV,1963,40F0,154.0831275,
IV,1963,40F1,245.78558584,
IV,1963,40F2,419.53156021,
IV,1963,40F3,622.61848833,
IV,1963,40F4,1092.5159024,
IV,1963,40F5,2191.3310614,
IV,1963,40F6,782.29794349,
IV,1963,40F7,879.17877765,
IV,1963,40F8,56.727121567,
IV,1963,41F0,73.30447297,
IV,1963,41F1,175.35579809,
IV,1963,41F2,276.83218616,
IV,1963,41F3,270.0191822,
IV,1963,41F4,612.01569103,
IV,1963,41F5,1232.071685,
IV,1963,41F6,1535.986746,
IV,1963,41F7,323.19625917,
IV,1963,41F8,13.79848903,
IV,1963,41G0,836.7445499,
IV,1963,41G1,1855.8113827,
IV,1963,41G2,428.19658012,
IV,1963,42F0,74.741815578,
IV,1963,42F1,51.744333861,
IV,1963,42F2,107.80069554,
IV,1963,42F3,41.970404132,
IV,1963,42F4,412.80479681,
IV,1963,42F5,237.14236563,
IV,1963,42F6,695.94289245,
IV,1963,42F7,442.79495031,
IV,1963,42F8,113.26259745,
IV,1963,42G0,395.62337822,
IV,1963,42G1,1218.7413316,
IV,1963,42G2,175.47988866,
IV,1963,43F1,5.9793452462,
IV,1963,43F2,40.820530046,
IV,1963,43F3,139.99716995,
IV,1963,43F6,87.390430522,
IV,1963,43F7,561.16155136,
IV,1963,43F8,1755.6597864,
IV,1963,43F9,206.16400486,
IV,1963,43G0,2199.6804888,
IV,1963,43G1,1834.3002227,
IV,1963,43G2,18.685453894,
IV,1963,44F0,90.759561593,
IV,1963,44F1,84.228276786,
IV,1963,44F5,31.62153736,
IV,1963,44F8,241.20764964,
IV,1963,44F9,1961.4973776,
IV,1963,44G0,5124.3191904,
IV,1963,44G1,2578.2898263,
IV,1963,45F0,479.81275093,
IV,1963,45F1,103.48866772,
IV,1963,45F4,10.923803815,
IV,1963,45F9,56.918767248,
IV,1963,45G0,203.22103219,
IV,1963,45G1,161.17401769,
IV,1963,46F0,218.85936767,
IV,1963,46F1,98.88917138,
IV,1963,47F0,230.26228568,
IV,1963,47F1,130.79817726,
IV,1963,48F0,197.20340572,
IV,1963,49F0,547.53171053,
IV,1963,49F1,290.34320667,
IV,1963,49F3,22.997481716,
IV,1963,50F0,98.314234337,
IV,1963,50F1,8.6240556436,
IV,1964,33F3,105.83458084,
IV,1964,33F4,39.879523617,
IV,1964,34F1,90.390394267,
IV,1964,34F2,723.42246008,
IV,1964,34F4,53.875069431,
IV,1964,35F1,2.9930594128,
IV,1964,35F2,657.87445894,
IV,1964,35F3,94.281371504,
IV,1964,35F4,79.615380381,
IV,1964,35F5,62.854247669,
IV,1964,36F0,17.958356477,
IV,1964,36F1,471.10755158,
IV,1964,36F2,515.49462267,
IV,1964,36F3,529.77151607,
IV,1964,36F4,520.19372595,
IV,1964,36F5,184.97107171,
IV,1964,36F6,101.61436707,
IV,1964,36F7,621.65844004,
IV,1964,36F8,525.31724505,
IV,1964,37F0,41.90283178,
IV,1964,37F1,525.720909,
IV,1964,37F2,614.86419518,
IV,1964,37F3,1194.6297803,
IV,1964,37F4,1068.3426268,
IV,1964,37F5,527.22741557,
IV,1964,37F6,986.56226679,
IV,1964,37F7,1757.7336451,
IV,1964,37F8,2219.104133,
IV,1964,38F0,96.675819034,
IV,1964,38F1,302.24911637,
IV,1964,38F2,584.74404062,
IV,1964,38F3,1368.6548062,
IV,1964,38F4,1283.8545917,
IV,1964,38F5,670.73178702,
IV,1964,38F6,744.10877642,
IV,1964,38F7,1040.5094547,
IV,1964,38F8,479.93707685,
IV,1964,39F0,242.43781244,
IV,1964,39F1,461.21050179,
IV,1964,39F2,742.3585493,
IV,1964,39F3,980.54472084,
IV,1964,39F4,2318.4288096,
IV,1964,39F5,1456.8217849,
IV,1964,39F6,945.13590157,
IV,1964,39F7,2962.5007038,
IV,1964,39F8,358.52362177,
IV,1964,40F0,160.42798453,
IV,1964,40F1,255.9065798,
IV,1964,40F2,436.80709071,
IV,1964,40F3,648.25676136,
IV,1964,40F4,1137.5036782,
IV,1964,40F5,2281.5660048,
IV,1964,40F6,814.51151993,
IV,1964,40F7,915.38172691,
IV,1964,40F8,59.06303908,
IV,1964,41F0,76.323015027,
IV,1964,41F1,182.57662418,
IV,1964,41F2,288.23162146,
IV,1964,41F3,281.13807065,
IV,1964,41F4,637.21736056,
IV,1964,41F5,1282.8061088,
IV,1964,41F6,1599.2358275,
IV,1964,41F7,336.50488089,
IV,1964,41F8,14.366685182,
IV,1964,41G0,871.20013647,
IV,1964,41G1,1932.2302488,
IV,1964,41G2,445.82892004,
IV,1964,42F0,77.819544734,
IV,1964,42F1,53.875069431,
IV,1964,42F2,112.23972798,
IV,1964,42F3,43.698667427,
IV,1964,42F4,429.80333168,
IV,1964,42F5,246.90744783,
IV,1964,42F6,724.60052827,
IV,1964,42F7,461.02842401,
IV,1964,42F8,117.92654087,
IV,1964,42G0,411.91441418,
IV,1964,42G1,1268.9268362,
IV,1964,42G2,182.70582458,
IV,1964,43F1,6.2255635787,
IV,1964,43F2,42.501443662,
IV,1964,43F3,145.7619934,
IV,1964,43F6,90.98900615,
IV,1964,43F7,584.26914186,
IV,1964,43F8,1827.9545958,
IV,1964,43F9,214.6534557,
IV,1964,43G0,2290.2592461,
IV,1964,43G1,1909.8332992,
IV,1964,43G2,19.454886183,
IV,1964,44F0,94.496871782,
IV,1964,44F1,87.696640796,
IV,1964,44F5,32.923653541,
IV,1964,44F8,251.14013268,
IV,1964,44F9,2042.2681968,
IV,1964,44G0,5335.3291379,
IV,1964,44G1,2684.459013,
IV,1964,45F0,499.57054891,
IV,1964,45F1,107.75013886,
IV,1964,45F4,11.373625769,
IV,1964,45F9,59.262576374,
IV,1964,45G0,211.58929687,
IV,1964,45G1,167.81086441,
IV,1964,46F0,227.87158996,
IV,1964,46F1,102.9612438,
IV,1964,47F0,239.74405897,
IV,1964,47F1,136.18420328,
IV,1964,48F0,205.32387572,
IV,1964,49F0,570.0780495,
IV,1964,49F1,302.2990007,
IV,1964,49F3,23.944475303,
IV,1964,50F0,102.36263192,
IV,1964,50F1,8.9791782385,
IV,1965,33F3,124.07078073,
IV,1965,33F4,46.751105274,
IV,1965,34F1,105.96542925,
IV,1965,34F2,848.07431287,
IV,1965,34F4,63.158202862,
IV,1965,35F1,3.5087890479,
IV,1965,35F2,771.23183272,
IV,1965,35F3,110.52685501,
IV,1965,35F4,93.333788674,
IV,1965,35F5,73.684570005,
IV,1965,36F0,21.052734287,
IV,1965,36F1,552.28339614,
IV,1965,36F2,604.31873772,
IV,1965,36F3,621.05566147,
IV,1965,36F4,609.82753652,
IV,1965,36F5,216.84316316,
IV,1965,36F6,119.12338818,
IV,1965,36F7,728.77548524,
IV,1965,36F8,615.83388161,
IV,1965,37F0,49.12304667,
IV,1965,37F1,616.3071003,
IV,1965,37F2,720.81053411,
IV,1965,37F3,1400.4746686,
IV,1965,37F4,1252.4271628,
IV,1965,37F5,618.07319078,
IV,1965,37F6,1156.55535,
IV,1965,37F7,2060.6061264,
IV,1965,37F8,2601.4746799,
IV,1965,38F0,113.33388625,
IV,1965,38F1,354.32921402,
IV,1965,38F2,685.50042032,
IV,1965,38F3,1604.485689,
IV,1965,38F4,1505.0736752,
IV,1965,38F5,786.30458796,
IV,1965,38F6,872.32505775,
IV,1965,38F7,1219.798098,
IV,1965,38F8,562.63432383,
IV,1965,39F0,284.21191288,
IV,1965,39F1,540.68100035,
IV,1965,39F2,870.27325158,
IV,1965,39F3,1149.5009296,
IV,1965,39F4,2717.9138445,
IV,1965,39F5,1707.8445892,
IV,1965,39F6,1107.9908691,
IV,1965,39F7,3472.964813,
IV,1965,39F8,420.3002961,
IV,1965,40F0,188.07109297,
IV,1965,40F1,300.00146359,
IV,1965,40F2,512.07267365,
IV,1965,40F3,759.95692392,
IV,1965,40F4,1333.5052525,
IV,1965,40F5,2674.6992644,
IV,1965,40F6,954.85879373,
IV,1965,40F7,1073.1097967,
IV,1965,40F8,69.240103878,
IV,1965,41F0,89.474120721,
IV,1965,41F1,214.03613192,
IV,1965,41F2,337.89638531,
IV,1965,41F3,329.58055527,
IV,1965,41F4,747.01534031,
IV,1965,41F5,1503.8445297,
